"label","text"
"001","n\0へ"
"101_01","　　　しんねんを　　　　　　　　　　　　
　　　むかえ　あらたな　　　　　　　　　
　　　しゅみ　はじめ　　　　　　　　　　

　　　そうさく　いよく　　　　　　　　　
　　　とどまり　しらず　　　　　　　　　"
"102_01","かじかんだ　　　　　　　　　　　　　　
てに　いきをかけ　　　　　　　　　　　　
あたためて　　　　　　　　　　　　　　　

はるを　まちわび　　　　　　　　　　　　
いっしん　にゅうこん　　　　　　　　　　"
"103_01","ゆきとけて　　　　　　　　　　　　　　　
くさきも　めぶき　　　　　　　　　　　　
はは　うきうき　　　　　　　　　　　　　

まっていました　　　　　　　　　　　　　
はるの　おとずれ　　　　　　　　　　　　"
"104_01","まいおちた　　　　　　　　　　　　　　　
サクラ　ひとひら　　　　　　　　　　　　
かみかざる　　　　　　　　　　　　　　　

はなの　ダンスに　　　　　　　　　　　　
こころも　おどる　　　　　　　　　　　　"
"105_01","しんりょくの　　　　　　　　　　　　　　
においに　さそわれ　　　　　　　　　　　
とびだして　　　　　　　　　　　　　　　

もくてきも　なく　　　　　　　　　　　　
あるく　よろこび　　　　　　　　　　　　"
"106_01","　ひかりまう　　　　　　　　　　　　　　
　よるの　みずべで　　　　　　　　　　　
　ほたるがり　　　　　　　　　　　　　　

　きを　とられたら　　　　　　　　　　　
　カに　ちをすわれ　　　　　　　　　　　"
"107_01","あさはやく　　　　　　　　　　　　　　　
セミの　なくこえ　　　　　　　　　　　　
さわがしく　　　　　　　　　　　　　　　

おこされる　はは　　　　　　　　　　　　
ねぶそくに　なく　　　　　　　　　　　　"
"108_01","なつぞらに　　　　　　　　　　　　　　　
ふりそそぐ　ほしに　　　　　　　　　　　
ねがいごと　　　　　　　　　　　　　　　

わがこの　ねがい　　　　　　　　　　　　
かないますよう　　　　　　　　　　　　　"
"109_01","　　つかのまの　　　　　　　　　　　　　
　　あつくも　さむくも　　　　　　　　　
　　ない　きせつ　　　　　　　　　　　　

　　なにも　かんじぬ　　　　　　　　　　
　　しあわせな　ひび　　　　　　　　　　"
"110_01","ほんを　よみ　　　　　　　　　　　　　　
りんご　ほおばり　　　　　　　　　　　　
ひとねむり　　　　　　　　　　　　　　　

ながら　まんきつ　　　　　　　　　　　　
よくばりの　あき　　　　　　　　　　　　"
"111_01","　　いろづいた　　　　　　　　　　　　　
　　このは　まいちる　　　　　　　　　　
　　ばんしゅうに　　　　　　　　　　　　

　　おちば　あつめて　　　　　　　　　　
　　おいもやく　はは　　　　　　　　　　"
"112_01","まどのそと　　　　　　　　　　　　　　　
ふりつもる　ゆき　　　　　　　　　　　　
ながめつつ　　　　　　　　　　　　　　　

わがこを　おもい　　　　　　　　　　　　
いとをあむ　よる　　　　　　　　　　　　"
"121_01","　　　しんねんを　　　　　　　　　　　　
　　　むかえ　あらたな　　　　　　　　　
　　　しゅみ　はじめ　　　　　　　　　　

　　　そうさく　いよく　　　　　　　　　
　　　とどまり　しらず　　　　　　　　　"
"122_01","あさはやく　　　　　　　　　　　　　　　
セミの　なくこえ　　　　　　　　　　　　
さわがしく　　　　　　　　　　　　　　　

おこされる　はは　　　　　　　　　　　　
ねぶそくに　なく　　　　　　　　　　　　"
"123_01","　　つかのまの　　　　　　　　　　　　　
　　あつくも　さむくも　　　　　　　　　
　　ない　きせつ　　　　　　　　　　　　

　　なにも　かんじぬ　　　　　　　　　　
　　しあわせな　ひび　　　　　　　　　　"
"124_01","ほんを　よみ　　　　　　　　　　　　　　
りんご　ほおばり　　　　　　　　　　　　
ひとねむり　　　　　　　　　　　　　　　

ながら　まんきつ　　　　　　　　　　　　
よくばりの　あき　　　　　　　　　　　　"
"125_01","　　いろづいた　　　　　　　　　　　　　
　　このは　まいちる　　　　　　　　　　
　　ばんしゅうに　　　　　　　　　　　　

　　おちば　あつめて　　　　　　　　　　
　　おいもやく　はは　　　　　　　　　　"
"126_01","まどのそと　　　　　　　　　　　　　　　
ふりつもる　ゆき　　　　　　　　　　　　
ながめつつ　　　　　　　　　　　　　　　

わがこを　おもい　　　　　　　　　　　　
いとをあむ　よる　　　　　　　　　　　　"
"127_01","ふゆぞらに　　　　　　　　　　　　　　　
ふりそそぐ　ほしに　　　　　　　　　　　
ねがいごと　　　　　　　　　　　　　　　

わがこの　ねがい　　　　　　　　　　　　
かないますよう　　　　　　　　　　　　　"
"128_01","かじかんだ　　　　　　　　　　　　　　
てに　いきをかけ　　　　　　　　　　　　
あたためて　　　　　　　　　　　　　　　

はるを　まちわび　　　　　　　　　　　　
いっしん　にゅうこん　　　　　　　　　　"
"129_01","ゆきとけて　　　　　　　　　　　　　　　
くさきも　めぶき　　　　　　　　　　　　
はは　うきうき　　　　　　　　　　　　　

まっていました　　　　　　　　　　　　　
はるの　おとずれ　　　　　　　　　　　　"
"130_01","まいおちた　　　　　　　　　　　　　　　
サクラ　ひとひら　　　　　　　　　　　　
かみかざる　　　　　　　　　　　　　　　

はなの　ダンスに　　　　　　　　　　　　
こころも　おどる　　　　　　　　　　　　"
"131_01","しんりょくの　　　　　　　　　　　　　　
においに　さそわれ　　　　　　　　　　　
とびだして　　　　　　　　　　　　　　　

もくてきも　なく　　　　　　　　　　　　
あるく　よろこび　　　　　　　　　　　　"
"132_01","　ひかりまう　　　　　　　　　　　　　　
　よるの　みずべで　　　　　　　　　　　
　ほたるがり　　　　　　　　　　　　　　

　きを　とられたら　　　　　　　　　　　
　カに　ちをすわれ　　　　　　　　　　　"
"151_01","そら　みあげ　　　　　　　　　　　　　　
ひこうきぐもの　　　　　　　　　　　　　
きせき　おい　　　　　　　　　　　　　　

おもい　はせるは　　　　　　　　　　　　
わがこの　かどで　　　　　　　　　　　　"
