"label","text"
"1000_Bag_07511","绿色"
"1001_Bag_07512","蓝色"
"1001_Bag_10184","红色"
"1001_Bag_11946","银色"
"1150_Bag_09761","棕色"
"1185_Bag_12131","蓝色"
"1203_Bag_12447","彩色"
"1233_Bag_12797","棕色"
"957_Bag_06838","绿色"
"957_Bag_06839","橘色"
"957_Bag_11944","蓝色"
"957_Bag_11945","红色"
"958_Bag_02550","粉红"
"958_Bag_12000","绿色"
"958_Bag_12001","浅蓝色"
"958_Bag_12002","紫色"
"962_Bag_07470","绿色"
"962_Bag_11978","橘色"
"962_Bag_11979","黑色"
"963_Bag_07471","黄色"
"963_Bag_11964","蓝色"
"964_Bag_07476","棕色"
"964_Bag_12009","海军蓝"
"965_Bag_07477","蓝色"
"966_Bag_07478","蓝色"
"967_Bag_07479","绿色"
"968_Bag_07480","粉红"
"968_Bag_12003","紫色"
"969_Bag_07481","驼色"
"969_Bag_12010","白色"
"970_Bag_07482","绿色"
"970_Bag_12004","紫色"
"971_Bag_07483","粉红"
"971_Bag_11980","绿色"
"971_Bag_11981","黄色"
"971_Bag_11982","白色"
"972_Bag_07484","海军蓝"
"972_Bag_12005","黑色"
"973_Bag_07485","红色"
"973_Bag_12011","蓝色"
"974_Bag_07486","缤纷色"
"974_Bag_12012","酷感色"
"975_Bag_07487","蓝色"
"975_Bag_12013","橘色"
"975_Bag_12014","象牙色"
"976_Bag_07488","棕色"
"977_Bag_07489","黄色"
"978_Bag_07490","粉红"
"979_Bag_07491","红色"
"980_Bag_07492","棕色"
"981_Bag_07493","白色"
"982_Bag_07494","白色"
"983_Bag_07497","黑色"
"984_Bag_07302","蓝色"
"984_Bag_12007","红色"
"984_Bag_12008","黑色"
"985_Bag_07304","蓝色"
"985_Bag_11974","红色"
"985_Bag_11975","黑色"
"986_Bag_07305","粉红"
"986_Bag_11976","蓝色"
"986_Bag_11977","黑色"
"987_Bag_07498","棕色"
"988_Bag_07499","橘色"
"988_Bag_11965","蓝色"
"988_Bag_11966","棕色"
"989_Bag_07500","黄色"
"989_Bag_11967","粉红"
"989_Bag_11968","绿色"
"990_Bag_07501","卡其色"
"990_Bag_11969","橘色"
"990_Bag_11970","海军蓝"
"991_Bag_07502","粉红"
"992_Bag_07503","黑色"
"992_Bag_12006","白色"
"993_Bag_07504","白色"
"993_Bag_12015","黑色"
"994_Bag_07505","红色"
"994_Bag_11971","绿色"
"994_Bag_11972","黑色"
"994_Bag_11973","蓝色"
"995_Bag_07506","绿色"
"996_Bag_07507","绿色"
"996_Bag_12016","蓝色"
"996_Bag_12017","灰色"
"996_Bag_12018","粉红"
"997_Bag_07508","蓝色"
"997_Bag_12019","黑色"
"998_Bag_07509","白色"
"999_Bag_07510","M"
"999_Bag_12148","花朵"
"999_Bag_12149","圆点"
"999_Bag_12150","彩色拼布"
"999_Bag_12151","樱桃"
"999_Bag_12152","牛仔条纹"
"999_Bag_12153","森林"
"999_Bag_12154","小鸡"
