"label","text"
"001","豆沙水果凉粉"
"002","草莓蛋糕"
"003","刨冰"
"004","奶油派"
"005","蜂蜜蛋糕"
"006","巧克力蛋糕"
"007","焦糖牛奶糖"
"008","可丽饼"
"009","法式焦糖布丁"
"010","咖啡果冻"
"011","萨赫蛋糕"
"012","意式冰淇淋"
"013","戚风蛋糕"
"014","肉桂卷"
"015","泡芙"
"016","香芋派"
"017","司康饼"
"018","珍珠粉圆"
"019","巧克力慕斯"
"020","提拉米苏"
"021","甜甜圈"
"022","栗子羊羹"
"023","椰果"
"024","生巧克力"
"025","年轮蛋糕"
"026","重磅蛋糕"
"027","香草冰淇淋"
"028","巴伐露"
"029","意式奶油布丁"
"030","饼干"
"031","菠萝冰"
"032","费南雪蛋糕"
"033","布丁"
"034","法式水果布丁"
"035","水果塔"
"036","水果芭菲"
"037","水果宾治"
"038","小鸡蛋糕"
"039","美式松饼"
"040","鲷鱼烧"
"041","马卡龙"
"042","棉花糖"
"043","抹茶冰淇淋"
"044","玛德琳小蛋糕"
"045","芒果布丁"
"046","千层蛋糕"
"047","蒙布朗"
"048","生乳酪蛋糕"
"049","瑞士卷"
"050","华夫饼"
