"label","text"
"000","Variation"
"001","Frame"
"002","Mushroom type"
"003","Paint color"
"004","Body"
"005","Season"
"006","Bamboo"
"007","Block color"
"008","Illumination"
"009","Shell color"
"010","Nut color"
"011","Cardboard"
"012","Flower color"
"013","Fruit type"
"014","Lumber type"
"015","Body color"
"016","Can"
"017","Flavor"
"018","Genre"
"019","Cover design"
"020","Color"
"021","Bag color"
"022","Hay condition"
"023","Barrel color"
"024","Sand color"
"025","Design"
"02586","Chair back and seat"
"026","Stone"
"027","Brick color"
"028","Tire color"
"029","Coating"
"030","Fabric"
"031","Body color"
"032","Design"
"033","Navigation"
"034","Sign"
"035","Light color"
"036","Art"
"03618","Finish"
"037","Cover pattern"
"038","Decorations"
"039","Name"
"040","Plate color"
"041","Dish"
"042","Knit-cap color"
"043","Roof color"
"044","Creation"
"046","Easel"
"047","Pumpkin color"
"07788","Food"
"12332","Tabletop"
"12741","Map center"
