"label","text"
"Bromide_06426","Frame"
"ChangeStick_07588","Mushroom type"
"DoorDeco_04377","Color"
"DoorDeco_04751","Color"
"DoorDeco_04752","Color"
"DoorDeco_04764","Color"
"DoorDeco_05310","Color"
"DoorDeco_05716","Color"
"DoorDeco_05717","Color"
"DoorDeco_05718","Color"
"DoorDeco_05719","Color"
"FishingRod_02377","Color"
"FishingRod_08471","Color"
"FishingRod_08472","Color"
"FishingRod_08473","Color"
"Ftr_00080","Paint color"
"Ftr_00083","Paint color"
"Ftr_00088","Paint color"
"Ftr_00131","Variation"
"Ftr_00144","Cover design"
"Ftr_00331","Body color"
"Ftr_00333","Paint color"
"Ftr_00383","Body"
"Ftr_00530","Season"
"Ftr_00531","Season"
"Ftr_00532","Season"
"Ftr_00533","Season"
"Ftr_00669","Body"
"Ftr_00676","Stone"
"Ftr_00677","Bamboo"
"Ftr_00682","Design"
"Ftr_00685","Variation"
"Ftr_00688","Variation"
"Ftr_00690","Variation"
"Ftr_00710","Bamboo"
"Ftr_00739","Body color"
"Ftr_00805","Mushroom type"
"Ftr_00808","Mushroom type"
"Ftr_00865","Paint color"
"Ftr_00891","Color"
"Ftr_01032","Body color"
"Ftr_01058","Body"
"Ftr_01103","Lumber type"
"Ftr_01111","Stone"
"Ftr_01157","Brick color"
"Ftr_01170","Lumber type"
"Ftr_01189","Tire color"
"Ftr_01241","Paint color"
"Ftr_01263","Fruit type"
"Ftr_01504","Fabric"
"Ftr_01509","Coating"
"Ftr_01557","Block color"
"Ftr_01558","Block color"
"Ftr_01559","Block color"
"Ftr_01561","Block color"
"Ftr_01565","Block color"
"Ftr_01625","Body color"
"Ftr_01626","Body color"
"Ftr_01627","Body color"
"Ftr_01652","Variation"
"Ftr_01753","Variation"
"Ftr_01759","Genre"
"Ftr_01797","Design"
"Ftr_01799","Paint color"
"Ftr_01823","Bag color"
"Ftr_01913","Paint color"
"Ftr_02319","Color"
"Ftr_02326","Body color"
"Ftr_02329","Tire color"
"Ftr_02553","Coating"
"Ftr_02558","Block color"
"Ftr_02559","Design"
"Ftr_02560","Paint color"
"Ftr_02586","Chair back and seat"
"Ftr_02596","Fruit type"
"Ftr_02605","Paint color"
"Ftr_03122","Paint color"
"Ftr_03191","Lumber type"
"Ftr_03193","Lumber type"
"Ftr_03194","Lumber type"
"Ftr_03195","Lumber type"
"Ftr_03196","Lumber type"
"Ftr_03200","Lumber type"
"Ftr_03205","Block color"
"Ftr_03206","Block color"
"Ftr_03208","Block color"
"Ftr_03270","Lumber type"
"Ftr_03271","Lumber type"
"Ftr_03275","Lumber type"
"Ftr_03340","Paint color"
"Ftr_03396","Tabletop"
"Ftr_03406","Paint color"
"Ftr_03407","Variation"
"Ftr_03436","Paint color"
"Ftr_03438","Paint color"
"Ftr_03439","Paint color"
"Ftr_03445","Body color"
"Ftr_03446","Stone"
"Ftr_03449","Paint color"
"Ftr_03490","Paint color"
"Ftr_03497","Illumination"
"Ftr_03498","Illumination"
"Ftr_03499","Illumination"
"Ftr_03500","Illumination"
"Ftr_03501","Illumination"
"Ftr_03502","Illumination"
"Ftr_03503","Illumination"
"Ftr_03504","Illumination"
"Ftr_03505","Illumination"
"Ftr_03509","Variation"
"Ftr_03551","Bamboo"
"Ftr_03553","Bamboo"
"Ftr_03554","Bamboo"
"Ftr_03556","Bamboo"
"Ftr_03557","Bamboo"
"Ftr_03558","Bamboo"
"Ftr_03559","Body color"
"Ftr_03560","Body color"
"Ftr_03561","Body color"
"Ftr_03562","Body color"
"Ftr_03563","Body color"
"Ftr_03581","Variation"
"Ftr_03587","Variation"
"Ftr_03588","Navigation"
"Ftr_03591","Variation"
"Ftr_03592","Variation"
"Ftr_03593","Variation"
"Ftr_03594","Variation"
"Ftr_03617","Variation"
"Ftr_03618","Finish"
"Ftr_03658","Bamboo"
"Ftr_03675","Hay condition"
"Ftr_03683","Design"
"Ftr_03692","Sign"
"Ftr_03699","Variation"
"Ftr_03773","Frame"
"Ftr_03775","Frame"
"Ftr_03776","Brick color"
"Ftr_03785","Color"
"Ftr_03805","Mushroom type"
"Ftr_03806","Mushroom type"
"Ftr_03808","Mushroom type"
"Ftr_03819","Barrel color"
"Ftr_03943","Lumber type"
"Ftr_03966","Design"
"Ftr_03975","Fruit type"
"Ftr_03976","Fruit type"
"Ftr_03977","Shell color"
"Ftr_03978","Shell color"
"Ftr_03979","Shell color"
"Ftr_03980","Shell color"
"Ftr_03982","Shell color"
"Ftr_03983","Shell color"
"Ftr_03984","Shell color"
"Ftr_03991","Design"
"Ftr_03992","Body color"
"Ftr_04011","Fruit type"
"Ftr_04012","Fruit type"
"Ftr_04025","Design"
"Ftr_04027","Color"
"Ftr_04035","Lumber type"
"Ftr_04036","Lumber type"
"Ftr_04037","Lumber type"
"Ftr_04038","Lumber type"
"Ftr_04039","Lumber type"
"Ftr_04040","Lumber type"
"Ftr_04041","Lumber type"
"Ftr_04042","Lumber type"
"Ftr_04043","Lumber type"
"Ftr_04044","Lumber type"
"Ftr_04066","Light color"
"Ftr_04067","Design"
"Ftr_04073","Design"
"Ftr_04074","Light color"
"Ftr_04075","Frame"
"Ftr_04078","Plate color"
"Ftr_04093","Bamboo"
"Ftr_04104","Dish"
"Ftr_04108","Light color"
"Ftr_04124","Lumber type"
"Ftr_04125","Paint color"
"Ftr_04127","Fruit type"
"Ftr_04128","Fruit type"
"Ftr_04131","Light color"
"Ftr_04134","Fruit type"
"Ftr_04279","Flavor"
"Ftr_04309","Color"
"Ftr_04546","Fruit type"
"Ftr_04708","Mushroom type"
"Ftr_05150","Shell color"
"Ftr_05337","Knit-cap color"
"Ftr_05543","Block color"
"Ftr_05635","Paint color"
"Ftr_05636","Body color"
"Ftr_05931","Body color"
"Ftr_05972","Lumber type"
